rank	city	country	y_2014	y_1990	growth	country_code	latitude	longitude
1	Tokyo	Japan	37833000	32530000	16.3	JPN	35.6895	139.6917
2	Delhi	India	24953000	9726000	156.56	IND	28.7041	77.1025
3	Shanghai	China	22991000	7823000	193.89	CHN	31.2304	121.4737
4	Mexico City	Mexico	20843000	15642000	33.25	MEX	23.6345	-102.5528
5	Ṣo Paulo	Brazil	20831000	14776000	40.98	BRA	-23.5505	-46.6333
6	Mumbai	India	20741000	12436000	66.78	IND	19.076	72.8777
7	Osaka	Japan	20123000	18389000	9.43	JPN	34.6937	135.5022
8	Beijing	China	19520000	6788000	187.57	CHN	39.9042	116.4074
9	New York/Newark	United States	18591000	16086000	15.57	USA	40.7128	-74.0059
10	Cairo	Egypt	18419000	9892000	86.2	EGY	30.0444	31.2357
11	Dhaka	Bangladesh	16982000	6621000	156.49	BGD	23.8103	90.4125
12	Karachi	Pakistan	16126000	7147000	125.63	PAK	24.8615	67.0099
13	Buenos Aires	Argentina	15024000	10513000	42.91	ARG	-34.6037	-58.3816
14	Calcutta	India	14766000	10890000	35.59	IND	22.5726	88.3639
15	Istanbul	Turkey	13954000	6522000	113.95	TUR	41.0082	28.9784
16	Chongqing	China	12916000	4011000	222.01	CHN	29.563	106.5515
17	Rio de Janeiro	Brazil	12825000	9697000	32.26	BRA	-22.9068	-43.1729
18	Manila	Philippines	12764000	7973000	60.09	PHL	14.5995	120.9842
19	Lagos	Nigeria	12614000	4764000	164.78	NGA	6.5244	3.3792
20	Los Angeles/Long Beach/Santa Ana	United States	12308000	10883000	13.09	USA	34.0522	-118.2437